FINCoS,Performance,Log,File.,,,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Tue,Jun,16,21:08:09,CEST,2020],to,[Tue,Jun,16,21:09:48,CEST,2020],,
log,file(s).,,,,,,,,,,,,,,,
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,,,Timestamp,Avg_RT
1592334490000,Esper,(sample),Prueba(output),16000,16000,16000,16000,230,138,666,130,138,,,1592334490000,16000
1592334491000,Esper,(sample),Prueba(output),21000,16000,26000,26000,180,70,666,99,0,,,1592334491000,26000
1592334492000,Esper,(sample),Prueba(output),25667,16000,35000,35000,144,65,666,86,102,,,1592334492000,35000
1592334493000,Esper,(sample),Prueba(output),30750,16000,46000,46000,128,39,666,87,0,,,1592334493000,46000
1592334494000,Esper,(sample),Prueba(output),35600,16000,55000,55000,117,31,666,78,116,,,1592334494000,55000
1592334495000,Esper,(sample),Prueba(output),40667,16000,66000,66000,115,28,666,75,0,,,1592334495000,66000
1592334496000,Esper,(sample),Prueba(output),45571,16000,75000,75000,114,28,666,77,120,,,1592334496000,75000
1592334497000,Esper,(sample),Prueba(output),50625,16000,86000,86000,109,27,666,74,0,,,1592334497000,86000
1592334498000,Esper,(sample),Prueba(output),55556,16000,95000,95000,104,27,666,71,67,,,1592334498000,95000
1592334499000,Esper,(sample),Prueba(output),60600,16000,106000,106000,99,27,666,68,0,,,1592334499000,106000
1592334500000,Esper,(sample),Prueba(output),65545,16000,115000,115000,92,13,666,68,152,,,1592334500000,115000
1592334501000,Esper,(sample),Prueba(output),70583,16000,126000,126000,84,12,666,67,0,,,1592334501000,126000
1592334502000,Esper,(sample),Prueba(output),75538,16000,135000,135000,76,12,666,66,165,,,1592334502000,135000
1592334503000,Esper,(sample),Prueba(output),80571,16000,146000,146000,70,12,666,64,0,,,1592334503000,146000
1592334504000,Esper,(sample),Prueba(output),85533,16000,155000,155000,64,12,666,62,27,,,1592334504000,155000
1592334505000,Esper,(sample),Prueba(output),90562,16000,166000,166000,61,12,666,60,0,,,1592334505000,166000
1592334506000,Esper,(sample),Prueba(output),95529,16000,175000,175000,57,5,666,59,64,,,1592334506000,175000
1592334507000,Esper,(sample),Prueba(output),100500,16000,185000,185000,54,5,666,57,0,,,1592334507000,185000
1592334508000,Esper,(sample),Prueba(output),105526,16000,196000,196000,51,5,666,55,45,,,1592334508000,196000
1592334509000,Esper,(sample),Prueba(output),110500,16000,205000,205000,49,5,666,53,0,,,1592334509000,205000
1592334510000,Esper,(sample),Prueba(output),115524,16000,216000,216000,47,5,666,51,24,,,1592334510000,216000
1592334511000,Esper,(sample),Prueba(output),120500,16000,225000,225000,45,5,666,50,0,,,1592334511000,225000
1592334512000,Esper,(sample),Prueba(output),125478,16000,235000,235000,43,5,666,48,38,,,1592334512000,235000
1592334513000,Esper,(sample),Prueba(output),130500,16000,246000,246000,41,3,666,47,0,,,1592334513000,246000
1592334514000,Esper,(sample),Prueba(output),135480,16000,255000,255000,40,3,666,46,46,,,1592334514000,255000
1592334515000,Esper,(sample),Prueba(output),140500,16000,266000,266000,38,3,666,45,0,,,1592334515000,266000
1592334516000,Esper,(sample),Prueba(output),145481,16000,275000,275000,37,3,666,44,18,,,1592334516000,275000
1592334517000,Esper,(sample),Prueba(output),150464,16000,285000,285000,36,1,666,43,0,,,1592334517000,285000
1592334518000,Esper,(sample),Prueba(output),155483,16000,296000,296000,35,1,666,42,20,,,1592334518000,296000
1592334519000,Esper,(sample),Prueba(output),160467,16000,305000,305000,34,1,666,41,0,,,1592334519000,305000
1592334520000,Esper,(sample),Prueba(output),165452,16000,315000,315000,33,1,666,40,21,,,1592334520000,315000
1592334521000,Esper,(sample),Prueba(output),170438,16000,325000,325000,32,1,666,40,0,,,1592334521000,325000
1592334522000,Esper,(sample),Prueba(output),175455,16000,336000,336000,31,1,666,39,19,,,1592334522000,336000
1592334523000,Esper,(sample),Prueba(output),180441,16000,345000,345000,30,1,666,38,0,,,1592334523000,345000
1592334524000,Esper,(sample),Prueba(output),185457,16000,356000,356000,29,1,666,37,31,,,1592334524000,356000
1592334525000,Esper,(sample),Prueba(output),190444,16000,365000,365000,28,1,666,37,0,,,1592334525000,365000
1592334526000,Esper,(sample),Prueba(output),195432,16000,375000,375000,28,1,666,36,17,,,1592334526000,375000
1592334527000,Esper,(sample),Prueba(output),200421,16000,385000,385000,27,1,666,36,0,,,1592334527000,385000
1592334528000,Esper,(sample),Prueba(output),205436,16000,396000,396000,26,1,666,35,37,,,1592334528000,396000
1592334529000,Esper,(sample),Prueba(output),210425,16000,405000,405000,25,1,666,35,0,,,1592334529000,405000
1592334530000,Esper,(sample),Prueba(output),215415,16000,415000,415000,25,1,666,34,23,,,1592334530000,415000
1592334531000,Esper,(sample),Prueba(output),220405,16000,425000,425000,24,1,666,34,0,,,1592334531000,425000
1592334532000,Esper,(sample),Prueba(output),225419,16000,436000,436000,24,1,676,35,17,,,1592334532000,436000
1592334533000,Esper,(sample),Prueba(output),230409,16000,445000,445000,23,1,676,34,0,,,1592334533000,445000
1592334534000,Esper,(sample),Prueba(output),235378,16000,454000,454000,23,1,676,34,12,,,1592334534000,454000
1592334535000,Esper,(sample),Prueba(output),240391,16000,466000,466000,22,1,676,34,0,,,1592334535000,466000
1592334536000,Esper,(sample),Prueba(output),245383,16000,475000,475000,22,1,676,34,12,,,1592334536000,475000
1592334537000,Esper,(sample),Prueba(output),250375,16000,485000,485000,22,1,676,33,0,,,1592334537000,485000
1592334538000,Esper,(sample),Prueba(output),255388,16000,496000,496000,21,1,676,33,11,,,1592334538000,496000
1592334539000,Esper,(sample),Prueba(output),260380,16000,505000,505000,21,1,676,33,0,,,1592334539000,505000
1592334540000,Esper,(sample),Prueba(output),265373,16000,515000,515000,20,1,676,33,14,,,1592334540000,515000
1592334541000,Esper,(sample),Prueba(output),270365,16000,525000,525000,20,1,676,32,0,,,1592334541000,525000
1592334542000,Esper,(sample),Prueba(output),275358,16000,535000,535000,20,1,676,32,17,,,1592334542000,535000
1592334543000,Esper,(sample),Prueba(output),280352,16000,545000,545000,20,1,676,32,0,,,1592334543000,545000
1592334544000,Esper,(sample),Prueba(output),285345,16000,555000,555000,19,1,976,33,15,,,1592334544000,555000
1592334545000,Esper,(sample),Prueba(output),290339,16000,565000,565000,19,1,976,32,0,,,1592334545000,565000
1592334546000,Esper,(sample),Prueba(output),295333,16000,575000,575000,19,1,976,32,12,,,1592334546000,575000
1592334547000,Esper,(sample),Prueba(output),300328,16000,585000,585000,18,1,976,32,0,,,1592334547000,585000
1592334548000,Esper,(sample),Prueba(output),305322,16000,595000,595000,18,1,976,32,12,,,1592334548000,595000
1592334549000,Esper,(sample),Prueba(output),310317,16000,605000,605000,18,1,976,31,0,,,1592334549000,605000
1592334550000,Esper,(sample),Prueba(output),315328,16000,616000,616000,18,1,976,32,37,,,1592334550000,616000
1592334551000,Esper,(sample),Prueba(output),320323,16000,625000,625000,18,1,976,32,0,,,1592334551000,625000
1592334552000,Esper,(sample),Prueba(output),325317,16000,635000,635000,18,1,976,32,15,,,1592334552000,635000
1592334553000,Esper,(sample),Prueba(output),330312,16000,645000,645000,18,1,976,31,0,,,1592334553000,645000
1592334554000,Esper,(sample),Prueba(output),335308,16000,655000,655000,18,1,976,31,10,,,1592334554000,655000
1592334555000,Esper,(sample),Prueba(output),340303,16000,665000,665000,18,1,976,31,0,,,1592334555000,665000
1592334556000,Esper,(sample),Prueba(output),345299,16000,675000,675000,18,1,976,30,116,,,1592334556000,675000
1592334557000,Esper,(sample),Prueba(output),350279,16000,684000,684000,17,1,976,30,0,,,1592334557000,684000
1592334558000,Esper,(sample),Prueba(output),355275,16000,695000,695000,17,1,1059,30,40,,,1592334558000,695000
1592334559000,Esper,(sample),Prueba(output),360271,16000,705000,705000,17,1,1059,30,0,,,1592334559000,705000
1592334560000,Esper,(sample),Prueba(output),365268,16000,715000,715000,17,1,1059,30,10,,,1592334560000,715000
1592334561000,Esper,(sample),Prueba(output),370250,16000,724000,724000,17,1,1059,30,0,,,1592334561000,724000
1592334562000,Esper,(sample),Prueba(output),375247,16000,735000,735000,17,1,1059,29,27,,,1592334562000,735000
1592334563000,Esper,(sample),Prueba(output),380257,16000,746000,746000,16,1,1059,29,0,,,1592334563000,746000
