FINCoS Performance Log File.
Generated from:
 "/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK01.log" [Tue Jun 16 21:08:09 CEST 2020] to [Tue Jun 16 21:19:08 CEST 2020]
log file(s).
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT
1592334490000,Esper (sample),StockAvg(output),26.000,26.000,26.000,26.000,0.497,0.124,6.618,1.277,0.209
1592334490000,Esper (sample),StockAvg2(output),50.000,50.000,50.000,50.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334491000,Esper (sample),StockAvg(output),34.000,26.000,42.000,42.000,0.281,0.081,6.618,0.800,0.096
1592334491000,Esper (sample),StockAvg2(output),67.000,50.000,84.000,84.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334492000,Esper (sample),StockAvg(output),42.000,26.000,58.000,58.000,0.199,0.044,6.618,0.593,0.125
1592334492000,Esper (sample),StockAvg2(output),83.333,50.000,116.000,116.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334493000,Esper (sample),StockAvg(output),50.250,26.000,75.000,75.000,0.162,0.044,6.618,0.472,0.086
1592334493000,Esper (sample),StockAvg2(output),100.000,50.000,150.000,150.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334494000,Esper (sample),StockAvg(output),58.600,26.000,92.000,92.000,0.143,0.044,6.618,0.392,0.166
1592334494000,Esper (sample),StockAvg2(output),116.800,50.000,184.000,184.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334495000,Esper (sample),StockAvg(output),67.000,26.000,109.000,109.000,0.138,0.039,6.618,0.338,0.078
1592334495000,Esper (sample),StockAvg2(output),133.667,50.000,218.000,218.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334496000,Esper (sample),StockAvg(output),75.286,26.000,125.000,125.000,0.131,0.039,6.618,0.297,0.075
1592334496000,Esper (sample),StockAvg2(output),150.286,50.000,250.000,250.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334497000,Esper (sample),StockAvg(output),83.625,26.000,142.000,142.000,0.123,0.022,6.618,0.266,0.040
1592334497000,Esper (sample),StockAvg2(output),167.000,50.000,284.000,284.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334498000,Esper (sample),StockAvg(output),92.000,26.000,159.000,159.000,0.112,0.020,6.618,0.241,0.024
1592334498000,Esper (sample),StockAvg2(output),183.778,50.000,318.000,318.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334499000,Esper (sample),StockAvg(output),100.300,26.000,175.000,175.000,0.101,0.011,6.618,0.221,0.028
1592334499000,Esper (sample),StockAvg2(output),200.400,50.000,350.000,350.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334500000,Esper (sample),StockAvg(output),108.636,26.000,192.000,192.000,0.091,0.011,6.618,0.205,0.018
1592334500000,Esper (sample),StockAvg2(output),217.091,50.000,384.000,384.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334501000,Esper (sample),StockAvg(output),116.917,26.000,208.000,208.000,0.083,0.011,6.618,0.190,0.022
1592334501000,Esper (sample),StockAvg2(output),233.667,50.000,416.000,416.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334502000,Esper (sample),StockAvg(output),125.231,26.000,225.000,225.000,0.075,0.007,6.618,0.178,0.019
1592334502000,Esper (sample),StockAvg2(output),250.308,50.000,450.000,450.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334503000,Esper (sample),StockAvg(output),133.571,26.000,242.000,242.000,0.069,0.007,6.618,0.167,0.016
1592334503000,Esper (sample),StockAvg2(output),267.000,50.000,484.000,484.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334504000,Esper (sample),StockAvg(output),141.933,26.000,259.000,259.000,0.063,0.007,6.618,0.157,0.019
1592334504000,Esper (sample),StockAvg2(output),283.733,50.000,518.000,518.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334505000,Esper (sample),StockAvg(output),150.188,26.000,274.000,274.000,0.059,0.007,6.618,0.148,0.019
1592334505000,Esper (sample),StockAvg2(output),300.250,50.000,548.000,548.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334506000,Esper (sample),StockAvg(output),158.588,26.000,293.000,293.000,0.056,0.002,6.618,0.141,0.020
1592334506000,Esper (sample),StockAvg2(output),317.059,50.000,586.000,586.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334507000,Esper (sample),StockAvg(output),166.889,26.000,308.000,308.000,0.053,0.002,6.618,0.134,0.039
1592334507000,Esper (sample),StockAvg2(output),333.667,50.000,616.000,616.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334508000,Esper (sample),StockAvg(output),175.211,26.000,325.000,325.000,0.051,0.002,6.618,0.130,0.008
1592334508000,Esper (sample),StockAvg2(output),350.316,50.000,650.000,650.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1592334509000,Esper (sample),StockAvg(output),183.500,26.000,341.000,341.000,0.049,0.002,6.618,0.125,0.015
