FINCoS,Performance,Log,File.,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Thu,Aug,27,17:43:49,CEST,2020],to,[Thu,Aug,27,17:45:28,CEST,2020]
log,file(s).,,,,,,,,,,,,,
Timestamp,Server,,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,
1598543030000,Siddhi,(Sample),Prueba(output),4000,4000,4000,4000,1481,53,5635,2770,142,,
1598543031000,Siddhi,(Sample),Prueba(output),11000,4000,18000,18000,350,50,5635,1181,105,,
1598543032000,Siddhi,(Sample),Prueba(output),16667,4000,28000,28000,254,49,5635,799,53,,
1598543033000,Siddhi,(Sample),Prueba(output),22250,4000,39000,39000,193,48,5635,602,189,,
1598543034000,Siddhi,(Sample),Prueba(output),27400,4000,48000,48000,157,41,5635,488,41,,
1598543035000,Siddhi,(Sample),Prueba(output),32500,4000,58000,58000,144,40,5635,415,877,,
1598543036000,Siddhi,(Sample),Prueba(output),37571,4000,68000,68000,133,38,5635,360,67,,
1598543037000,Siddhi,(Sample),Prueba(output),42625,4000,78000,78000,128,38,5635,320,116,,
1598543038000,Siddhi,(Sample),Prueba(output),47667,4000,88000,88000,131,38,5635,330,3417,,
1598543039000,Siddhi,(Sample),Prueba(output),52800,4000,99000,99000,129,33,5635,305,136,,
1598543040000,Siddhi,(Sample),Prueba(output),57818,4000,108000,108000,126,33,5635,295,350,,
1598543041000,Siddhi,(Sample),Prueba(output),62833,4000,118000,118000,116,22,5635,273,32,,
1598543042000,Siddhi,(Sample),Prueba(output),67846,4000,128000,128000,105,9,5635,256,19,,
1598543043000,Siddhi,(Sample),Prueba(output),72857,4000,138000,138000,95,7,5635,240,19,,
1598543044000,Siddhi,(Sample),Prueba(output),77933,4000,149000,149000,87,7,5635,226,19,,
1598543045000,Siddhi,(Sample),Prueba(output),82938,4000,158000,158000,81,3,5635,215,21,,
1598543046000,Siddhi,(Sample),Prueba(output),87941,4000,168000,168000,77,3,5635,209,26,,
1598543047000,Siddhi,(Sample),Prueba(output),92889,4000,177000,177000,71,3,5635,198,21,,
1598543048000,Siddhi,(Sample),Prueba(output),97947,4000,189000,189000,69,3,5635,193,20,,
1598543049000,Siddhi,(Sample),Prueba(output),102950,4000,198000,198000,66,3,5635,185,20,,
1598543050000,Siddhi,(Sample),Prueba(output),107952,4000,208000,208000,65,3,5635,184,22,,
1598543051000,Siddhi,(Sample),Prueba(output),112955,4000,218000,218000,63,3,5635,192,24,,
1598543052000,Siddhi,(Sample),Prueba(output),117870,4000,226000,226000,61,2,5635,195,36,,
1598543053000,Siddhi,(Sample),Prueba(output),122958,4000,240000,240000,58,2,5635,188,33,,
1598543054000,Siddhi,(Sample),Prueba(output),127960,4000,248000,248000,57,2,5635,182,16,,
1598543055000,Siddhi,(Sample),Prueba(output),133000,4000,259000,259000,55,2,5635,178,19,,
1598543056000,Siddhi,(Sample),Prueba(output),138000,4000,268000,268000,53,2,5635,172,45,,
1598543057000,Siddhi,(Sample),Prueba(output),143000,4000,278000,278000,52,2,5635,167,14,,
1598543058000,Siddhi,(Sample),Prueba(output),147966,4000,287000,287000,50,2,5635,162,18,,
1598543059000,Siddhi,(Sample),Prueba(output),153000,4000,299000,299000,49,2,5635,159,17,,
1598543060000,Siddhi,(Sample),Prueba(output),158000,4000,308000,308000,48,2,5635,155,27,,
1598543061000,Siddhi,(Sample),Prueba(output),163000,4000,318000,318000,48,2,5635,157,23,,
1598543062000,Siddhi,(Sample),Prueba(output),167939,4000,326000,326000,48,2,5635,156,24,,
1598543063000,Siddhi,(Sample),Prueba(output),173000,4000,340000,340000,47,2,5635,153,55,,
