FINCoS Performance Log File.
Generated from:
 "/Users/ares161/eclipse-workspace/TFM FINCoS/log/AQ_ESPER_SINK.log" [Fri Sep 04 00:09:12 CEST 2020] to [Fri Sep 04 00:30:37 CEST 2020]
log file(s).
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT
1599170953000,Esper (sample),NO2_Avg(output),748.000,748.000,748.000,748.000,NaN,NaN,NaN,NaN,NaN
1599170954000,Esper (sample),NO2_Avg(output),782.000,748.000,816.000,816.000,NaN,NaN,NaN,NaN,NaN
1599170955000,Esper (sample),NO2_Avg(output),792.000,748.000,816.000,812.000,NaN,NaN,NaN,NaN,NaN
1599170956000,Esper (sample),NO2_Avg(output),804.000,748.000,840.000,840.000,NaN,NaN,NaN,NaN,NaN
1599170957000,Esper (sample),NO2_Avg(output),796.800,748.000,840.000,768.000,NaN,NaN,NaN,NaN,NaN
1599170958000,Esper (sample),NO2_Avg(output),802.000,748.000,840.000,828.000,NaN,NaN,NaN,NaN,NaN
1599170959000,Esper (sample),NO2_Avg(output),801.143,748.000,840.000,796.000,NaN,NaN,NaN,NaN,NaN
1599170960000,Esper (sample),NO2_Avg(output),793.000,736.000,840.000,736.000,NaN,NaN,NaN,NaN,NaN
1599170961000,Esper (sample),NO2_Avg(output),796.444,736.000,840.000,824.000,NaN,NaN,NaN,NaN,NaN
1599170962000,Esper (sample),NO2_Avg(output),796.400,736.000,840.000,796.000,NaN,NaN,NaN,NaN,NaN
1599170963000,Esper (sample),NO2_Avg(output),796.000,736.000,840.000,792.000,NaN,NaN,NaN,NaN,NaN
1599170964000,Esper (sample),NO2_Avg(output),803.667,736.000,888.000,888.000,NaN,NaN,NaN,NaN,NaN
1599170965000,Esper (sample),NO2_Avg(output),799.077,736.000,888.000,744.000,NaN,NaN,NaN,NaN,NaN
1599170966000,Esper (sample),NO2_Avg(output),799.429,736.000,888.000,804.000,NaN,NaN,NaN,NaN,NaN
1599170967000,Esper (sample),NO2_Avg(output),799.200,736.000,888.000,796.000,NaN,NaN,NaN,NaN,NaN
1599170968000,Esper (sample),NO2_Avg(output),801.000,736.000,888.000,828.000,NaN,NaN,NaN,NaN,NaN
1599170969000,Esper (sample),NO2_Avg(output),803.765,736.000,888.000,848.000,NaN,NaN,NaN,NaN,NaN
1599170970000,Esper (sample),NO2_Avg(output),803.111,736.000,888.000,792.000,NaN,NaN,NaN,NaN,NaN
1599170971000,Esper (sample),NO2_Avg(output),804.000,736.000,888.000,820.000,NaN,NaN,NaN,NaN,NaN
1599170972000,Esper (sample),NO2_Avg(output),803.000,736.000,888.000,784.000,NaN,NaN,NaN,NaN,NaN
1599170973000,Esper (sample),NO2_Avg(output),801.143,736.000,888.000,764.000,NaN,NaN,NaN,NaN,NaN
1599170974000,Esper (sample),NO2_Avg(output),802.545,736.000,888.000,832.000,NaN,NaN,NaN,NaN,NaN
1599170975000,Esper (sample),NO2_Avg(output),802.435,736.000,888.000,800.000,NaN,NaN,NaN,NaN,NaN
1599170976000,Esper (sample),NO2_Avg(output),804.167,736.000,888.000,844.000,NaN,NaN,NaN,NaN,NaN
