FINCoS Performance Log File.
Generated from:
 "/Users/ares161/eclipse-workspace/TFM FINCoS/log/AQ_ESPER_SINK_NO2.log" [Sun Sep 06 16:35:22 CEST 2020] to [Sun Sep 06 16:44:22 CEST 2020]
log file(s).
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT
1599402923000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,15994438.602,22619551.993
1599402923000,Esper (sample),NO2_Good(output),8946.000,8946.000,8946.000,8946.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402923000,Esper (sample),NO2_Moderate(output),7996.000,7996.000,7996.000,7996.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402923000,Esper (sample),NO2_Unhealthy(output),38942.000,38942.000,38942.000,38942.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402923000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),41884.000,41884.000,41884.000,41884.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402924000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,13059404.432,22619551.993
1599402924000,Esper (sample),NO2_Good(output),4473.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402924000,Esper (sample),NO2_Moderate(output),3998.000,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402924000,Esper (sample),NO2_Unhealthy(output),19471.000,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402924000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),20942.000,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402925000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,12389238.867,22619551.993
1599402925000,Esper (sample),NO2_Good(output),2982.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402925000,Esper (sample),NO2_Moderate(output),2665.333,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402925000,Esper (sample),NO2_Unhealthy(output),12980.667,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402925000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),13961.333,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402926000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,12090659.114,22619551.993
1599402926000,Esper (sample),NO2_Good(output),2236.500,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402926000,Esper (sample),NO2_Moderate(output),1999.000,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402926000,Esper (sample),NO2_Unhealthy(output),9735.500,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402926000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),10471.000,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402927000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11921550.659,22619551.993
1599402927000,Esper (sample),NO2_Good(output),1789.200,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402927000,Esper (sample),NO2_Moderate(output),1599.200,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402927000,Esper (sample),NO2_Unhealthy(output),7788.400,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402927000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),8376.800,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402928000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11812675.769,22619551.993
1599402928000,Esper (sample),NO2_Good(output),1491.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402928000,Esper (sample),NO2_Moderate(output),1332.667,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402928000,Esper (sample),NO2_Unhealthy(output),6490.333,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402928000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),6980.667,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402929000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11736709.221,22619551.993
1599402929000,Esper (sample),NO2_Good(output),1278.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402929000,Esper (sample),NO2_Moderate(output),1142.286,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402929000,Esper (sample),NO2_Unhealthy(output),5563.429,0.000,38942.000,2.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402929000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),5983.429,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402930000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11680686.423,22619551.993
1599402930000,Esper (sample),NO2_Good(output),1118.250,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402930000,Esper (sample),NO2_Moderate(output),999.500,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402930000,Esper (sample),NO2_Unhealthy(output),4868.000,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402930000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),5235.500,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402931000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11637663.490,22619551.993
1599402931000,Esper (sample),NO2_Good(output),994.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402931000,Esper (sample),NO2_Moderate(output),888.444,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402931000,Esper (sample),NO2_Unhealthy(output),4327.111,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402931000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),4653.778,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402932000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11603585.340,22619551.993
1599402932000,Esper (sample),NO2_Good(output),894.600,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402932000,Esper (sample),NO2_Moderate(output),799.600,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402932000,Esper (sample),NO2_Unhealthy(output),3894.400,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402932000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),4188.400,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402933000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11575924.787,22619551.993
1599402933000,Esper (sample),NO2_Good(output),813.273,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402933000,Esper (sample),NO2_Moderate(output),726.909,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402933000,Esper (sample),NO2_Unhealthy(output),3540.364,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402933000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),3807.636,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402934000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11553024.814,22619551.993
1599402934000,Esper (sample),NO2_Good(output),745.500,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402934000,Esper (sample),NO2_Moderate(output),666.333,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402934000,Esper (sample),NO2_Unhealthy(output),3245.333,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402934000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),3490.333,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402935000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11533753.700,22619551.993
1599402935000,Esper (sample),NO2_Good(output),688.154,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402935000,Esper (sample),NO2_Moderate(output),615.077,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402935000,Esper (sample),NO2_Unhealthy(output),2995.692,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402935000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),3221.846,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402936000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11517312.133,22619551.993
1599402936000,Esper (sample),NO2_Avg(output),2.000,2.000,2.000,2.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402936000,Esper (sample),NO2_Good(output),639.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402936000,Esper (sample),NO2_Moderate(output),571.143,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402936000,Esper (sample),NO2_Unhealthy(output),2781.714,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402936000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),2991.714,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402937000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11503119.506,22619551.993
1599402937000,Esper (sample),NO2_Avg(output),1.000,0.000,2.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402937000,Esper (sample),NO2_Good(output),596.400,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402937000,Esper (sample),NO2_Moderate(output),533.067,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402937000,Esper (sample),NO2_Unhealthy(output),2596.267,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402937000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),2792.267,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402938000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11490743.903,22619551.993
1599402938000,Esper (sample),NO2_Avg(output),0.667,0.000,2.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402938000,Esper (sample),NO2_Good(output),559.125,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402938000,Esper (sample),NO2_Moderate(output),499.750,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402938000,Esper (sample),NO2_Unhealthy(output),2434.000,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402938000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),2617.750,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402939000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11479857.360,22619551.993
1599402939000,Esper (sample),NO2_Avg(output),0.500,0.000,2.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402939000,Esper (sample),NO2_Good(output),526.235,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402939000,Esper (sample),NO2_Moderate(output),470.353,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402939000,Esper (sample),NO2_Unhealthy(output),2290.824,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402939000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),2463.765,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402940000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,11309775.997,22619551.993,22619551.993,11470206.364,22619551.993
1599402940000,Esper (sample),NO2_Avg(output),0.400,0.000,2.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402940000,Esper (sample),NO2_Good(output),497.000,0.000,8946.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402940000,Esper (sample),NO2_Moderate(output),444.222,0.000,7996.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402940000,Esper (sample),NO2_Unhealthy(output),2163.556,0.000,38942.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599402940000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),2326.889,0.000,41884.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
