Timestamp,Siddhi,Avg_Throughput,,,
1599420631000,AirQualityLevel(output),13063482,,,
1599420630000,AirQualityLevel(output),13087667,,,
1599420629000,AirQualityLevel(output),13111941,,,
1599420628000,AirQualityLevel(output),13136305,,,
1599420627000,AirQualityLevel(output),13160760,,,
1599420626000,AirQualityLevel(output),13185306,,,
1599420625000,AirQualityLevel(output),13209944,,,
1599420624000,AirQualityLevel(output),13234674,,,
1599420623000,AirQualityLevel(output),13259497,,,
1599420622000,AirQualityLevel(output),13284414,,,
1599420621000,AirQualityLevel(output),13309424,,,
1599420620000,AirQualityLevel(output),13334528,,,
1599420619000,AirQualityLevel(output),13359728,,,
1599420618000,AirQualityLevel(output),13385023,,,
1599420617000,AirQualityLevel(output),13410414,,,
1599420616000,AirQualityLevel(output),13435901,,,
1599420615000,AirQualityLevel(output),13461486,,,
1599420614000,AirQualityLevel(output),13487168,,,
1599420613000,AirQualityLevel(output),13512948,,,
1599420612000,AirQualityLevel(output),13538828,,,
1599420611000,AirQualityLevel(output),13564806,,,
1599420610000,AirQualityLevel(output),13590885,,,
1599420609000,AirQualityLevel(output),13617064,,,
1599420608000,AirQualityLevel(output),13643344,,,
1599420607000,AirQualityLevel(output),13669725,,,
1599420606000,AirQualityLevel(output),13696209,,,
1599420605000,AirQualityLevel(output),13722796,,,
1599420604000,AirQualityLevel(output),13749486,,,
1599420603000,AirQualityLevel(output),13776281,,,
1599420602000,AirQualityLevel(output),13803180,,,
1599420601000,AirQualityLevel(output),13830184,,,
1599420600000,AirQualityLevel(output),13857294,,,
1599420599000,AirQualityLevel(output),13884511,,,
1599420598000,AirQualityLevel(output),13911835,,,
1599420597000,AirQualityLevel(output),13939266,,,
1599420596000,AirQualityLevel(output),13966806,,,
1599420595000,AirQualityLevel(output),13994455,,,
1599420594000,AirQualityLevel(output),14022214,,,
1599420593000,AirQualityLevel(output),14050083,,,
1599420592000,AirQualityLevel(output),14078064,,,
1599420591000,AirQualityLevel(output),14106156,,,
1599420590000,AirQualityLevel(output),14134360,,,
1599420589000,AirQualityLevel(output),14162677,,,
1599420588000,AirQualityLevel(output),14191108,,,
1599420587000,AirQualityLevel(output),14219654,,,
1599420586000,AirQualityLevel(output),14248315,,,
1599420585000,AirQualityLevel(output),14277091,,,
1599420584000,AirQualityLevel(output),14305984,,,
1599420583000,AirQualityLevel(output),14334994,,,
1599420582000,AirQualityLevel(output),14364122,,,
1599420581000,AirQualityLevel(output),14393369,,,
1599420580000,AirQualityLevel(output),14422735,,,
1599420579000,AirQualityLevel(output),14452221,,,
1599420578000,AirQualityLevel(output),14481828,,,
1599420577000,AirQualityLevel(output),14511556,,,
1599420576000,AirQualityLevel(output),14541407,,,
1599420575000,AirQualityLevel(output),14571381,,,
1599420574000,AirQualityLevel(output),14601479,,,
1599420573000,AirQualityLevel(output),14631702,,,
1599420572000,AirQualityLevel(output),14662050,,,
1599420571000,AirQualityLevel(output),13710578,,,
1599420570000,AirQualityLevel(output),13739133,,,
1599420569000,AirQualityLevel(output),13767808,,,
1599420568000,AirQualityLevel(output),13796603,,,
1599420567000,AirQualityLevel(output),13825518,,,
1599420566000,AirQualityLevel(output),13854555,,,
1599420565000,AirQualityLevel(output),13883714,,,
1599420564000,AirQualityLevel(output),13912996,,,
1599420563000,AirQualityLevel(output),13942402,,,
1599420562000,AirQualityLevel(output),13971932,,,
1599420561000,AirQualityLevel(output),14001588,,,
1599420560000,AirQualityLevel(output),14031370,,,
1599420559000,AirQualityLevel(output),14061279,,,
1599420558000,AirQualityLevel(output),14091316,,,
1599420557000,AirQualityLevel(output),14121482,,,
1599420556000,AirQualityLevel(output),14151777,,,
1599420555000,AirQualityLevel(output),14182202,,,
1599420554000,AirQualityLevel(output),14212759,,,
1599420553000,AirQualityLevel(output),14243447,,,
1599420552000,AirQualityLevel(output),14274268,,,
1599420551000,AirQualityLevel(output),14305223,,,
1599420550000,AirQualityLevel(output),14336313,,,
1599420549000,AirQualityLevel(output),14367538,,,
1599420548000,AirQualityLevel(output),14398900,,,
1599420547000,AirQualityLevel(output),14430398,,,
1599420546000,AirQualityLevel(output),14462035,,,
1599420545000,AirQualityLevel(output),14493811,,,
1599420544000,AirQualityLevel(output),14525727,,,
1599420543000,AirQualityLevel(output),14557784,,,
1599420542000,AirQualityLevel(output),14589982,,,
1599420541000,AirQualityLevel(output),14622324,,,
1599420540000,AirQualityLevel(output),14654809,,,
1599420539000,AirQualityLevel(output),14687439,,,
1599420538000,AirQualityLevel(output),14720214,,,
1599420537000,AirQualityLevel(output),14753136,,,
1599420536000,AirQualityLevel(output),14786206,,,
1599420535000,AirQualityLevel(output),14819425,,,
1599420534000,AirQualityLevel(output),14852793,,,
1599420533000,AirQualityLevel(output),14886312,,,
1599420532000,AirQualityLevel(output),14919982,,,
1599420531000,AirQualityLevel(output),14953805,,,
1599420530000,AirQualityLevel(output),14987782,,,
1599420529000,AirQualityLevel(output),15021913,,,
1599420528000,AirQualityLevel(output),15056201,,,
1599420527000,AirQualityLevel(output),15090645,,,
1599420526000,AirQualityLevel(output),15125248,,,
1599420525000,AirQualityLevel(output),15160009,,,
1599420524000,AirQualityLevel(output),15194931,,,
1599420523000,AirQualityLevel(output),15230014,,,
1599420522000,AirQualityLevel(output),15265259,,,
1599420521000,AirQualityLevel(output),15300668,,,
1599420520000,AirQualityLevel(output),15336242,,,
1599420519000,AirQualityLevel(output),15371981,,,
1599420518000,AirQualityLevel(output),15407888,,,
1599420517000,AirQualityLevel(output),15443963,,,
1599420516000,AirQualityLevel(output),15480207,,,
1599420515000,AirQualityLevel(output),15516621,,,
1599420514000,AirQualityLevel(output),15553208,,,
1599420513000,AirQualityLevel(output),15589967,,,
1599420512000,AirQualityLevel(output),15626900,,,
1599420511000,AirQualityLevel(output),14572470,,,
