FINCoS Performance Log File.
Generated from:
 "/Users/ares161/eclipse-workspace/TFM FINCoS/log/AQ_ESPER_SINK_NO2.log" [Fri Sep 04 21:51:01 CEST 2020] to [Fri Sep 04 22:01:01 CEST 2020]
log file(s).
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT
1599249062000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,21829521.640,30871605.564
1599249062000,Esper (sample),NO2_Good(output),12.000,12.000,12.000,12.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249062000,Esper (sample),NO2_Moderate(output),12.000,12.000,12.000,12.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249062000,Esper (sample),NO2_Unhealthy(output),260.000,260.000,260.000,260.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249062000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),515864.000,515864.000,515864.000,515864.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249063000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,17823729.783,30871605.564
1599249063000,Esper (sample),NO2_Good(output),6.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249063000,Esper (sample),NO2_Moderate(output),6.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249063000,Esper (sample),NO2_Unhealthy(output),130.000,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249063000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),257932.000,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249064000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,16909074.754,30871605.564
1599249064000,Esper (sample),NO2_Good(output),4.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249064000,Esper (sample),NO2_Moderate(output),4.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249064000,Esper (sample),NO2_Unhealthy(output),86.667,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249064000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),171954.667,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249065000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,16501567.286,30871605.564
1599249065000,Esper (sample),NO2_Good(output),3.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249065000,Esper (sample),NO2_Moderate(output),3.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249065000,Esper (sample),NO2_Unhealthy(output),65.000,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249065000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),128966.000,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249066000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,16270764.768,30871605.564
1599249066000,Esper (sample),NO2_Good(output),2.400,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249066000,Esper (sample),NO2_Moderate(output),2.400,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249066000,Esper (sample),NO2_Unhealthy(output),52.000,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249066000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),103172.800,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249067000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,16122170.196,30871605.564
1599249067000,Esper (sample),NO2_Good(output),2.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249067000,Esper (sample),NO2_Moderate(output),2.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249067000,Esper (sample),NO2_Unhealthy(output),43.333,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249067000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),85977.333,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249068000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,16018489.570,30871605.564
1599249068000,Esper (sample),NO2_Good(output),1.714,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249068000,Esper (sample),NO2_Moderate(output),1.714,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249068000,Esper (sample),NO2_Unhealthy(output),37.143,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249068000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),73694.857,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249069000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,15942028.563,30871605.564
1599249069000,Esper (sample),NO2_Good(output),1.500,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249069000,Esper (sample),NO2_Moderate(output),1.500,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249069000,Esper (sample),NO2_Unhealthy(output),32.500,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249069000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),64483.000,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249070000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,15883310.026,30871605.564
1599249070000,Esper (sample),NO2_Good(output),1.333,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249070000,Esper (sample),NO2_Moderate(output),1.333,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249070000,Esper (sample),NO2_Unhealthy(output),28.889,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249070000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),57318.222,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249071000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,15836799.501,30871605.564
1599249071000,Esper (sample),NO2_Good(output),1.200,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249071000,Esper (sample),NO2_Moderate(output),1.200,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249071000,Esper (sample),NO2_Unhealthy(output),26.000,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249071000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),51586.400,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249072000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,15799047.840,30871605.564
1599249072000,Esper (sample),NO2_Good(output),1.091,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249072000,Esper (sample),NO2_Moderate(output),1.091,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249072000,Esper (sample),NO2_Unhealthy(output),23.636,0.000,260.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249072000,Esper (sample),NO2_UnhealthyForSensitiveGroup(output),46896.727,0.000,515864.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249073000,Esper (sample),AirQualityLevel(output),2.000,2.000,2.000,2.000,15435802.782,30871605.564,30871605.564,15767793.511,30871605.564
1599249073000,Esper (sample),NO2_Good(output),1.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
1599249073000,Esper (sample),NO2_Moderate(output),1.000,0.000,12.000,0.000,0.000,9223372036854776000.000,0.000,0.000,0.000
